One,Two
"['01,06,22,24,32,42,16', '02,13,24,29,41,49,45', '01,11,36,38,41,42,48']","02,12,13,16,32,43,24"
"['02,13,24,29,41,49,45', '01,11,36,38,41,42,48', '02,12,13,16,32,43,24']","04,11,25,35,37,48,36"
"['01,11,36,38,41,42,48', '02,12,13,16,32,43,24', '04,11,25,35,37,48,36']","03,08,21,22,37,41,46"
"['02,12,13,16,32,43,24', '04,11,25,35,37,48,36', '03,08,21,22,37,41,46']","10,22,30,33,36,47,43"
"['04,11,25,35,37,48,36', '03,08,21,22,37,41,46', '10,22,30,33,36,47,43']","08,29,33,34,46,49,19"
"['03,08,21,22,37,41,46', '10,22,30,33,36,47,43', '08,29,33,34,46,49,19']","04,25,26,27,30,48,11"
"['10,22,30,33,36,47,43', '08,29,33,34,46,49,19', '04,25,26,27,30,48,11']","09,10,19,21,35,36,49"
"['08,29,33,34,46,49,19', '04,25,26,27,30,48,11', '09,10,19,21,35,36,49']","10,14,32,33,35,46,43"
"['04,25,26,27,30,48,11', '09,10,19,21,35,36,49', '10,14,32,33,35,46,43']","07,16,31,38,40,41,39"
"['09,10,19,21,35,36,49', '10,14,32,33,35,46,43', '07,16,31,38,40,41,39']","01,12,25,28,40,46,39"
"['10,14,32,33,35,46,43', '07,16,31,38,40,41,39', '01,12,25,28,40,46,39']","07,27,32,34,41,47,09"
"['07,16,31,38,40,41,39', '01,12,25,28,40,46,39', '07,27,32,34,41,47,09']","07,25,31,34,47,49,26"
"['01,12,25,28,40,46,39', '07,27,32,34,41,47,09', '07,25,31,34,47,49,26']","01,07,22,32,34,36,08"
"['07,27,32,34,41,47,09', '07,25,31,34,47,49,26', '01,07,22,32,34,36,08']","01,05,13,43,44,47,25"
"['07,25,31,34,47,49,26', '01,07,22,32,34,36,08', '01,05,13,43,44,47,25']","13,15,24,30,38,40,44"
"['01,07,22,32,34,36,08', '01,05,13,43,44,47,25', '13,15,24,30,38,40,44']","04,09,13,32,34,41,42"
"['01,05,13,43,44,47,25', '13,15,24,30,38,40,44', '04,09,13,32,34,41,42']","08,09,23,30,37,41,31"
"['13,15,24,30,38,40,44', '04,09,13,32,34,41,42', '08,09,23,30,37,41,31']","03,14,16,17,43,46,04"
"['04,09,13,32,34,41,42', '08,09,23,30,37,41,31', '03,14,16,17,43,46,04']","14,20,22,27,28,38,19"
"['08,09,23,30,37,41,31', '03,14,16,17,43,46,04', '14,20,22,27,28,38,19']","12,15,18,27,30,38,19"
"['03,14,16,17,43,46,04', '14,20,22,27,28,38,19', '12,15,18,27,30,38,19']","09,11,13,17,38,42,29"
"['14,20,22,27,28,38,19', '12,15,18,27,30,38,19', '09,11,13,17,38,42,29']","01,12,17,25,31,48,21"
"['12,15,18,27,30,38,19', '09,11,13,17,38,42,29', '01,12,17,25,31,48,21']","01,03,18,23,28,44,10"
"['09,11,13,17,38,42,29', '01,12,17,25,31,48,21', '01,03,18,23,28,44,10']","03,07,15,16,18,41,42"
"['01,12,17,25,31,48,21', '01,03,18,23,28,44,10', '03,07,15,16,18,41,42']","12,33,34,38,40,46,07"
"['01,03,18,23,28,44,10', '03,07,15,16,18,41,42', '12,33,34,38,40,46,07']","07,09,19,22,36,49,29"
"['03,07,15,16,18,41,42', '12,33,34,38,40,46,07', '07,09,19,22,36,49,29']","07,08,20,28,34,46,10"
"['12,33,34,38,40,46,07', '07,09,19,22,36,49,29', '07,08,20,28,34,46,10']","03,05,17,32,33,47,36"
"['07,09,19,22,36,49,29', '07,08,20,28,34,46,10', '03,05,17,32,33,47,36']","04,07,23,24,27,41,17"
"['07,08,20,28,34,46,10', '03,05,17,32,33,47,36', '04,07,23,24,27,41,17']","07,21,22,37,41,48,15"
"['03,05,17,32,33,47,36', '04,07,23,24,27,41,17', '07,21,22,37,41,48,15']","04,10,19,26,35,45,38"
"['04,07,23,24,27,41,17', '07,21,22,37,41,48,15', '04,10,19,26,35,45,38']","12,17,20,21,30,45,09"
"['07,21,22,37,41,48,15', '04,10,19,26,35,45,38', '12,17,20,21,30,45,09']","06,10,24,27,41,43,49"
"['04,10,19,26,35,45,38', '12,17,20,21,30,45,09', '06,10,24,27,41,43,49']","01,02,10,11,26,43,40"
"['12,17,20,21,30,45,09', '06,10,24,27,41,43,49', '01,02,10,11,26,43,40']","07,08,15,23,31,36,30"
"['06,10,24,27,41,43,49', '01,02,10,11,26,43,40', '07,08,15,23,31,36,30']","07,23,32,34,43,47,24"
"['01,02,10,11,26,43,40', '07,08,15,23,31,36,30', '07,23,32,34,43,47,24']","02,12,26,28,33,34,44"
"['07,08,15,23,31,36,30', '07,23,32,34,43,47,24', '02,12,26,28,33,34,44']","02,13,16,22,26,48,39"
"['07,23,32,34,43,47,24', '02,12,26,28,33,34,44', '02,13,16,22,26,48,39']","08,26,29,32,36,39,23"
"['02,12,26,28,33,34,44', '02,13,16,22,26,48,39', '08,26,29,32,36,39,23']","01,07,14,22,40,45,29"
"['02,13,16,22,26,48,39', '08,26,29,32,36,39,23', '01,07,14,22,40,45,29']","02,10,22,23,24,37,42"
"['08,26,29,32,36,39,23', '01,07,14,22,40,45,29', '02,10,22,23,24,37,42']","04,13,17,29,31,44,14"
"['01,07,14,22,40,45,29', '02,10,22,23,24,37,42', '04,13,17,29,31,44,14']","02,06,12,18,36,46,47"
"['02,10,22,23,24,37,42', '04,13,17,29,31,44,14', '02,06,12,18,36,46,47']","11,12,15,20,27,47,36"
"['04,13,17,29,31,44,14', '02,06,12,18,36,46,47', '11,12,15,20,27,47,36']","07,08,10,20,24,27,19"
"['02,06,12,18,36,46,47', '11,12,15,20,27,47,36', '07,08,10,20,24,27,19']","12,18,20,21,31,37,24"
"['11,12,15,20,27,47,36', '07,08,10,20,24,27,19', '12,18,20,21,31,37,24']","03,14,18,31,41,42,02"
"['07,08,10,20,24,27,19', '12,18,20,21,31,37,24', '03,14,18,31,41,42,02']","17,19,24,27,31,37,08"
"['12,18,20,21,31,37,24', '03,14,18,31,41,42,02', '17,19,24,27,31,37,08']","16,19,28,37,38,41,10"
"['03,14,18,31,41,42,02', '17,19,24,27,31,37,08', '16,19,28,37,38,41,10']","01,05,08,10,34,35,46"
"['17,19,24,27,31,37,08', '16,19,28,37,38,41,10', '01,05,08,10,34,35,46']","01,12,13,37,41,43,49"
"['16,19,28,37,38,41,10', '01,05,08,10,34,35,46', '01,12,13,37,41,43,49']","02,03,05,28,42,48,09"
"['01,05,08,10,34,35,46', '01,12,13,37,41,43,49', '02,03,05,28,42,48,09']","09,14,17,19,46,47,29"
"['01,12,13,37,41,43,49', '02,03,05,28,42,48,09', '09,14,17,19,46,47,29']","04,08,10,14,41,45,38"
"['02,03,05,28,42,48,09', '09,14,17,19,46,47,29', '04,08,10,14,41,45,38']","04,23,25,28,39,43,41"
"['09,14,17,19,46,47,29', '04,08,10,14,41,45,38', '04,23,25,28,39,43,41']","02,14,19,28,39,46,45"
"['04,08,10,14,41,45,38', '04,23,25,28,39,43,41', '02,14,19,28,39,46,45']","05,15,24,25,44,47,45"
"['04,23,25,28,39,43,41', '02,14,19,28,39,46,45', '05,15,24,25,44,47,45']","10,15,24,26,29,35,12"
"['02,14,19,28,39,46,45', '05,15,24,25,44,47,45', '10,15,24,26,29,35,12']","05,06,12,22,30,48,41"
"['05,15,24,25,44,47,45', '10,15,24,26,29,35,12', '05,06,12,22,30,48,41']","08,20,23,33,36,43,02"
"['10,15,24,26,29,35,12', '05,06,12,22,30,48,41', '08,20,23,33,36,43,02']","04,25,31,36,39,46,02"
"['05,06,12,22,30,48,41', '08,20,23,33,36,43,02', '04,25,31,36,39,46,02']","02,11,17,22,38,40,41"
"['08,20,23,33,36,43,02', '04,25,31,36,39,46,02', '02,11,17,22,38,40,41']","02,03,05,14,16,29,32"
"['04,25,31,36,39,46,02', '02,11,17,22,38,40,41', '02,03,05,14,16,29,32']","03,08,18,19,26,42,17"
"['02,11,17,22,38,40,41', '02,03,05,14,16,29,32', '03,08,18,19,26,42,17']","01,03,06,11,19,27,05"
"['02,03,05,14,16,29,32', '03,08,18,19,26,42,17', '01,03,06,11,19,27,05']","05,08,23,34,44,46,16"
"['03,08,18,19,26,42,17', '01,03,06,11,19,27,05', '05,08,23,34,44,46,16']","06,28,29,30,31,39,33"
"['01,03,06,11,19,27,05', '05,08,23,34,44,46,16', '06,28,29,30,31,39,33']","04,28,32,37,41,45,47"
"['05,08,23,34,44,46,16', '06,28,29,30,31,39,33', '04,28,32,37,41,45,47']","15,18,25,30,33,44,38"
"['06,28,29,30,31,39,33', '04,28,32,37,41,45,47', '15,18,25,30,33,44,38']","03,14,16,21,33,36,20"
"['04,28,32,37,41,45,47', '15,18,25,30,33,44,38', '03,14,16,21,33,36,20']","10,11,14,19,22,38,42"
"['15,18,25,30,33,44,38', '03,14,16,21,33,36,20', '10,11,14,19,22,38,42']","18,35,39,43,47,49,44"
"['03,14,16,21,33,36,20', '10,11,14,19,22,38,42', '18,35,39,43,47,49,44']","02,12,15,18,37,40,39"
"['10,11,14,19,22,38,42', '18,35,39,43,47,49,44', '02,12,15,18,37,40,39']","03,08,11,16,33,37,35"
"['18,35,39,43,47,49,44', '02,12,15,18,37,40,39', '03,08,11,16,33,37,35']","07,23,29,36,45,49,14"
"['02,12,15,18,37,40,39', '03,08,11,16,33,37,35', '07,23,29,36,45,49,14']","08,13,15,19,29,42,25"
"['03,08,11,16,33,37,35', '07,23,29,36,45,49,14', '08,13,15,19,29,42,25']","13,17,23,27,33,41,02"
"['07,23,29,36,45,49,14', '08,13,15,19,29,42,25', '13,17,23,27,33,41,02']","05,11,14,16,36,40,46"
"['08,13,15,19,29,42,25', '13,17,23,27,33,41,02', '05,11,14,16,36,40,46']","05,18,25,31,48,49,44"
"['13,17,23,27,33,41,02', '05,11,14,16,36,40,46', '05,18,25,31,48,49,44']","01,04,19,24,28,31,49"
"['05,11,14,16,36,40,46', '05,18,25,31,48,49,44', '01,04,19,24,28,31,49']","04,10,13,36,44,45,05"
"['05,18,25,31,48,49,44', '01,04,19,24,28,31,49', '04,10,13,36,44,45,05']","07,10,12,35,38,47,23"
"['01,04,19,24,28,31,49', '04,10,13,36,44,45,05', '07,10,12,35,38,47,23']","13,16,27,28,33,42,11"
"['04,10,13,36,44,45,05', '07,10,12,35,38,47,23', '13,16,27,28,33,42,11']","02,08,09,18,27,37,33"
"['07,10,12,35,38,47,23', '13,16,27,28,33,42,11', '02,08,09,18,27,37,33']","06,09,23,27,34,46,20"
"['13,16,27,28,33,42,11', '02,08,09,18,27,37,33', '06,09,23,27,34,46,20']","15,16,26,27,39,45,37"
"['02,08,09,18,27,37,33', '06,09,23,27,34,46,20', '15,16,26,27,39,45,37']","02,12,21,30,42,47,31"
"['06,09,23,27,34,46,20', '15,16,26,27,39,45,37', '02,12,21,30,42,47,31']","11,13,18,22,38,39,03"
"['15,16,26,27,39,45,37', '02,12,21,30,42,47,31', '11,13,18,22,38,39,03']","02,11,23,30,33,42,07"
"['02,12,21,30,42,47,31', '11,13,18,22,38,39,03', '02,11,23,30,33,42,07']","02,12,24,32,42,47,29"
"['11,13,18,22,38,39,03', '02,11,23,30,33,42,07', '02,12,24,32,42,47,29']","13,14,21,29,42,48,11"
"['02,11,23,30,33,42,07', '02,12,24,32,42,47,29', '13,14,21,29,42,48,11']","16,18,19,25,26,32,22"
"['02,12,24,32,42,47,29', '13,14,21,29,42,48,11', '16,18,19,25,26,32,22']","06,16,19,23,33,39,07"
"['13,14,21,29,42,48,11', '16,18,19,25,26,32,22', '06,16,19,23,33,39,07']","18,30,40,42,44,49,08"
"['16,18,19,25,26,32,22', '06,16,19,23,33,39,07', '18,30,40,42,44,49,08']","04,21,27,28,30,35,42"
"['06,16,19,23,33,39,07', '18,30,40,42,44,49,08', '04,21,27,28,30,35,42']","08,12,22,30,32,36,06"
"['18,30,40,42,44,49,08', '04,21,27,28,30,35,42', '08,12,22,30,32,36,06']","11,33,34,46,47,49,38"
"['04,21,27,28,30,35,42', '08,12,22,30,32,36,06', '11,33,34,46,47,49,38']","02,08,12,34,41,42,07"
"['08,12,22,30,32,36,06', '11,33,34,46,47,49,38', '02,08,12,34,41,42,07']","01,12,29,30,33,44,19"
"['11,33,34,46,47,49,38', '02,08,12,34,41,42,07', '01,12,29,30,33,44,19']","01,15,21,26,36,45,10"
"['02,08,12,34,41,42,07', '01,12,29,30,33,44,19', '01,15,21,26,36,45,10']","02,04,17,22,36,43,40"
"['01,12,29,30,33,44,19', '01,15,21,26,36,45,10', '02,04,17,22,36,43,40']","24,26,31,32,37,46,01"
"['01,15,21,26,36,45,10', '02,04,17,22,36,43,40', '24,26,31,32,37,46,01']","14,16,25,32,36,48,12"
"['02,04,17,22,36,43,40', '24,26,31,32,37,46,01', '14,16,25,32,36,48,12']","03,07,08,23,30,31,32"
"['24,26,31,32,37,46,01', '14,16,25,32,36,48,12', '03,07,08,23,30,31,32']","07,14,19,30,31,39,40"
"['14,16,25,32,36,48,12', '03,07,08,23,30,31,32', '07,14,19,30,31,39,40']","08,14,16,19,21,35,20"
"['03,07,08,23,30,31,32', '07,14,19,30,31,39,40', '08,14,16,19,21,35,20']","02,10,15,22,26,32,42"
"['07,14,19,30,31,39,40', '08,14,16,19,21,35,20', '02,10,15,22,26,32,42']","15,16,21,23,28,46,14"
"['08,14,16,19,21,35,20', '02,10,15,22,26,32,42', '15,16,21,23,28,46,14']","05,06,07,14,29,46,24"
"['02,10,15,22,26,32,42', '15,16,21,23,28,46,14', '05,06,07,14,29,46,24']","02,09,18,22,25,35,14"
"['15,16,21,23,28,46,14', '05,06,07,14,29,46,24', '02,09,18,22,25,35,14']","16,17,20,21,32,40,15"
"['05,06,07,14,29,46,24', '02,09,18,22,25,35,14', '16,17,20,21,32,40,15']","01,09,18,19,34,49,11"
"['02,09,18,22,25,35,14', '16,17,20,21,32,40,15', '01,09,18,19,34,49,11']","14,23,24,27,36,39,13"
"['16,17,20,21,32,40,15', '01,09,18,19,34,49,11', '14,23,24,27,36,39,13']","01,03,19,31,32,42,43"
"['01,09,18,19,34,49,11', '14,23,24,27,36,39,13', '01,03,19,31,32,42,43']","16,17,30,32,35,41,26"
"['14,23,24,27,36,39,13', '01,03,19,31,32,42,43', '16,17,30,32,35,41,26']","05,15,22,23,28,39,25"
"['01,03,19,31,32,42,43', '16,17,30,32,35,41,26', '05,15,22,23,28,39,25']","14,21,25,35,36,39,18"
"['16,17,30,32,35,41,26', '05,15,22,23,28,39,25', '14,21,25,35,36,39,18']","02,03,04,23,29,42,14"
"['05,15,22,23,28,39,25', '14,21,25,35,36,39,18', '02,03,04,23,29,42,14']","09,22,31,36,40,47,08"
"['14,21,25,35,36,39,18', '02,03,04,23,29,42,14', '09,22,31,36,40,47,08']","19,23,31,32,37,49,26"
"['02,03,04,23,29,42,14', '09,22,31,36,40,47,08', '19,23,31,32,37,49,26']","05,17,33,34,43,44,04"
"['09,22,31,36,40,47,08', '19,23,31,32,37,49,26', '05,17,33,34,43,44,04']","17,18,22,24,25,38,39"
"['19,23,31,32,37,49,26', '05,17,33,34,43,44,04', '17,18,22,24,25,38,39']","21,22,32,37,42,44,38"
"['05,17,33,34,43,44,04', '17,18,22,24,25,38,39', '21,22,32,37,42,44,38']","24,36,39,41,45,49,22"
"['17,18,22,24,25,38,39', '21,22,32,37,42,44,38', '24,36,39,41,45,49,22']","08,16,27,32,43,44,07"
"['21,22,32,37,42,44,38', '24,36,39,41,45,49,22', '08,16,27,32,43,44,07']","04,17,25,36,40,44,08"
"['24,36,39,41,45,49,22', '08,16,27,32,43,44,07', '04,17,25,36,40,44,08']","15,17,20,32,33,39,21"
"['08,16,27,32,43,44,07', '04,17,25,36,40,44,08', '15,17,20,32,33,39,21']","11,12,21,35,41,48,01"
"['04,17,25,36,40,44,08', '15,17,20,32,33,39,21', '11,12,21,35,41,48,01']","06,12,22,31,41,44,02"
"['15,17,20,32,33,39,21', '11,12,21,35,41,48,01', '06,12,22,31,41,44,02']","02,16,20,37,43,48,10"
"['11,12,21,35,41,48,01', '06,12,22,31,41,44,02', '02,16,20,37,43,48,10']","06,14,15,19,30,43,31"
"['06,12,22,31,41,44,02', '02,16,20,37,43,48,10', '06,14,15,19,30,43,31']","12,16,35,38,41,47,01"
"['02,16,20,37,43,48,10', '06,14,15,19,30,43,31', '12,16,35,38,41,47,01']","08,10,15,32,39,48,43"
"['06,14,15,19,30,43,31', '12,16,35,38,41,47,01', '08,10,15,32,39,48,43']","06,16,21,23,46,49,39"
"['12,16,35,38,41,47,01', '08,10,15,32,39,48,43', '06,16,21,23,46,49,39']","10,11,21,23,28,37,24"
"['08,10,15,32,39,48,43', '06,16,21,23,46,49,39', '10,11,21,23,28,37,24']","07,11,12,15,24,26,06"
"['06,16,21,23,46,49,39', '10,11,21,23,28,37,24', '07,11,12,15,24,26,06']","06,18,19,23,32,49,21"
"['10,11,21,23,28,37,24', '07,11,12,15,24,26,06', '06,18,19,23,32,49,21']","02,11,25,29,30,33,20"
"['07,11,12,15,24,26,06', '06,18,19,23,32,49,21', '02,11,25,29,30,33,20']","04,09,11,32,43,47,44"
"['06,18,19,23,32,49,21', '02,11,25,29,30,33,20', '04,09,11,32,43,47,44']","04,11,16,28,33,46,17"
"['02,11,25,29,30,33,20', '04,09,11,32,43,47,44', '04,11,16,28,33,46,17']","10,19,26,29,43,45,20"
"['04,09,11,32,43,47,44', '04,11,16,28,33,46,17', '10,19,26,29,43,45,20']","03,08,09,12,14,22,46"
"['04,11,16,28,33,46,17', '10,19,26,29,43,45,20', '03,08,09,12,14,22,46']","01,19,20,25,30,32,02"
"['10,19,26,29,43,45,20', '03,08,09,12,14,22,46', '01,19,20,25,30,32,02']","01,05,07,31,35,49,42"
"['03,08,09,12,14,22,46', '01,19,20,25,30,32,02', '01,05,07,31,35,49,42']","01,09,17,31,33,48,49"
"['01,19,20,25,30,32,02', '01,05,07,31,35,49,42', '01,09,17,31,33,48,49']","01,05,16,18,31,41,13"
"['01,05,07,31,35,49,42', '01,09,17,31,33,48,49', '01,05,16,18,31,41,13']","04,12,17,28,34,40,07"
"['01,09,17,31,33,48,49', '01,05,16,18,31,41,13', '04,12,17,28,34,40,07']","14,19,21,25,27,38,22"
"['01,05,16,18,31,41,13', '04,12,17,28,34,40,07', '14,19,21,25,27,38,22']","04,13,14,37,39,46,31"
"['04,12,17,28,34,40,07', '14,19,21,25,27,38,22', '04,13,14,37,39,46,31']","12,14,32,35,40,43,17"
"['14,19,21,25,27,38,22', '04,13,14,37,39,46,31', '12,14,32,35,40,43,17']","18,22,41,42,47,49,45"
"['04,13,14,37,39,46,31', '12,14,32,35,40,43,17', '18,22,41,42,47,49,45']","06,07,35,37,38,47,12"
"['12,14,32,35,40,43,17', '18,22,41,42,47,49,45', '06,07,35,37,38,47,12']","10,25,26,29,31,40,02"
"['18,22,41,42,47,49,45', '06,07,35,37,38,47,12', '10,25,26,29,31,40,02']","08,23,28,38,41,42,30"
"['06,07,35,37,38,47,12', '10,25,26,29,31,40,02', '08,23,28,38,41,42,30']","01,29,35,36,44,46,06"
"['10,25,26,29,31,40,02', '08,23,28,38,41,42,30', '01,29,35,36,44,46,06']","11,19,25,34,36,42,08"
"['08,23,28,38,41,42,30', '01,29,35,36,44,46,06', '11,19,25,34,36,42,08']","19,29,33,36,39,49,06"
"['01,29,35,36,44,46,06', '11,19,25,34,36,42,08', '19,29,33,36,39,49,06']","12,28,38,42,44,49,02"
"['11,19,25,34,36,42,08', '19,29,33,36,39,49,06', '12,28,38,42,44,49,02']","27,30,32,41,44,46,42"
"['19,29,33,36,39,49,06', '12,28,38,42,44,49,02', '27,30,32,41,44,46,42']","05,25,26,34,40,49,47"
"['12,28,38,42,44,49,02', '27,30,32,41,44,46,42', '05,25,26,34,40,49,47']","03,21,26,28,38,40,42"
"['27,30,32,41,44,46,42', '05,25,26,34,40,49,47', '03,21,26,28,38,40,42']","01,03,22,28,37,42,10"
"['05,25,26,34,40,49,47', '03,21,26,28,38,40,42', '01,03,22,28,37,42,10']","01,21,24,25,34,44,19"
"['03,21,26,28,38,40,42', '01,03,22,28,37,42,10', '01,21,24,25,34,44,19']","06,18,24,25,26,34,19"
"['01,03,22,28,37,42,10', '01,21,24,25,34,44,19', '06,18,24,25,26,34,19']","07,08,25,33,41,43,06"
"['01,21,24,25,34,44,19', '06,18,24,25,26,34,19', '07,08,25,33,41,43,06']","02,07,08,22,28,32,20"
"['06,18,24,25,26,34,19', '07,08,25,33,41,43,06', '02,07,08,22,28,32,20']","03,06,11,17,22,49,44"
"['07,08,25,33,41,43,06', '02,07,08,22,28,32,20', '03,06,11,17,22,49,44']","02,03,17,28,38,49,21"
"['02,07,08,22,28,32,20', '03,06,11,17,22,49,44', '02,03,17,28,38,49,21']","10,11,15,20,31,49,44"
"['03,06,11,17,22,49,44', '02,03,17,28,38,49,21', '10,11,15,20,31,49,44']","01,10,13,33,37,38,40"
"['02,03,17,28,38,49,21', '10,11,15,20,31,49,44', '01,10,13,33,37,38,40']","05,15,25,27,33,34,43"
"['10,11,15,20,31,49,44', '01,10,13,33,37,38,40', '05,15,25,27,33,34,43']","02,08,21,32,33,37,15"
"['01,10,13,33,37,38,40', '05,15,25,27,33,34,43', '02,08,21,32,33,37,15']","14,15,16,24,44,47,21"
"['05,15,25,27,33,34,43', '02,08,21,32,33,37,15', '14,15,16,24,44,47,21']","10,23,29,30,44,47,07"
"['02,08,21,32,33,37,15', '14,15,16,24,44,47,21', '10,23,29,30,44,47,07']","02,08,13,14,37,39,38"
"['14,15,16,24,44,47,21', '10,23,29,30,44,47,07', '02,08,13,14,37,39,38']","10,16,30,33,37,42,43"
"['10,23,29,30,44,47,07', '02,08,13,14,37,39,38', '10,16,30,33,37,42,43']","11,23,30,35,40,44,07"
"['02,08,13,14,37,39,38', '10,16,30,33,37,42,43', '11,23,30,35,40,44,07']","04,10,31,38,40,48,05"
"['10,16,30,33,37,42,43', '11,23,30,35,40,44,07', '04,10,31,38,40,48,05']","14,15,16,35,46,48,02"
"['11,23,30,35,40,44,07', '04,10,31,38,40,48,05', '14,15,16,35,46,48,02']","01,02,29,31,33,43,40"
"['04,10,31,38,40,48,05', '14,15,16,35,46,48,02', '01,02,29,31,33,43,40']","04,07,17,22,44,45,32"
"['14,15,16,35,46,48,02', '01,02,29,31,33,43,40', '04,07,17,22,44,45,32']","17,23,30,31,34,49,36"
"['01,02,29,31,33,43,40', '04,07,17,22,44,45,32', '17,23,30,31,34,49,36']","03,16,22,33,40,41,39"
"['04,07,17,22,44,45,32', '17,23,30,31,34,49,36', '03,16,22,33,40,41,39']","01,12,35,36,41,44,21"
"['17,23,30,31,34,49,36', '03,16,22,33,40,41,39', '01,12,35,36,41,44,21']","04,07,20,23,28,45,35"
"['03,16,22,33,40,41,39', '01,12,35,36,41,44,21', '04,07,20,23,28,45,35']","09,11,20,21,45,46,42"
"['01,12,35,36,41,44,21', '04,07,20,23,28,45,35', '09,11,20,21,45,46,42']","01,11,18,27,36,46,26"
"['04,07,20,23,28,45,35', '09,11,20,21,45,46,42', '01,11,18,27,36,46,26']","09,28,34,41,42,49,06"
"['09,11,20,21,45,46,42', '01,11,18,27,36,46,26', '09,28,34,41,42,49,06']","25,26,37,38,44,48,31"
"['01,11,18,27,36,46,26', '09,28,34,41,42,49,06', '25,26,37,38,44,48,31']","05,19,26,44,46,48,36"
"['09,28,34,41,42,49,06', '25,26,37,38,44,48,31', '05,19,26,44,46,48,36']","05,14,15,20,27,29,35"
"['25,26,37,38,44,48,31', '05,19,26,44,46,48,36', '05,14,15,20,27,29,35']","08,20,33,35,42,43,10"
"['05,19,26,44,46,48,36', '05,14,15,20,27,29,35', '08,20,33,35,42,43,10']","15,17,30,35,37,45,41"
"['05,14,15,20,27,29,35', '08,20,33,35,42,43,10', '15,17,30,35,37,45,41']","01,02,22,27,35,40,33"
"['08,20,33,35,42,43,10', '15,17,30,35,37,45,41', '01,02,22,27,35,40,33']","04,15,20,22,28,29,01"
"['15,17,30,35,37,45,41', '01,02,22,27,35,40,33', '04,15,20,22,28,29,01']","09,15,27,28,30,41,13"
"['01,02,22,27,35,40,33', '04,15,20,22,28,29,01', '09,15,27,28,30,41,13']","09,15,19,22,35,41,37"
"['04,15,20,22,28,29,01', '09,15,27,28,30,41,13', '09,15,19,22,35,41,37']","02,10,17,27,33,49,15"
"['09,15,27,28,30,41,13', '09,15,19,22,35,41,37', '02,10,17,27,33,49,15']","07,13,33,40,45,46,39"
"['09,15,19,22,35,41,37', '02,10,17,27,33,49,15', '07,13,33,40,45,46,39']","24,25,29,33,35,38,49"
"['02,10,17,27,33,49,15', '07,13,33,40,45,46,39', '24,25,29,33,35,38,49']","25,31,34,42,43,46,05"
"['07,13,33,40,45,46,39', '24,25,29,33,35,38,49', '25,31,34,42,43,46,05']","09,10,13,19,23,35,38"
"['24,25,29,33,35,38,49', '25,31,34,42,43,46,05', '09,10,13,19,23,35,38']","06,09,15,17,40,47,24"
"['25,31,34,42,43,46,05', '09,10,13,19,23,35,38', '06,09,15,17,40,47,24']","08,20,24,34,41,43,32"
"['09,10,13,19,23,35,38', '06,09,15,17,40,47,24', '08,20,24,34,41,43,32']","07,08,25,39,45,46,38"
"['06,09,15,17,40,47,24', '08,20,24,34,41,43,32', '07,08,25,39,45,46,38']","14,17,27,28,39,41,18"
"['08,20,24,34,41,43,32', '07,08,25,39,45,46,38', '14,17,27,28,39,41,18']","02,27,34,35,36,49,26"
"['07,08,25,39,45,46,38', '14,17,27,28,39,41,18', '02,27,34,35,36,49,26']","07,10,17,20,21,31,49"
"['14,17,27,28,39,41,18', '02,27,34,35,36,49,26', '07,10,17,20,21,31,49']","12,13,16,33,35,37,18"
"['02,27,34,35,36,49,26', '07,10,17,20,21,31,49', '12,13,16,33,35,37,18']","04,13,15,22,23,48,03"
"['07,10,17,20,21,31,49', '12,13,16,33,35,37,18', '04,13,15,22,23,48,03']","05,08,23,31,39,44,19"
"['12,13,16,33,35,37,18', '04,13,15,22,23,48,03', '05,08,23,31,39,44,19']","03,10,27,33,41,44,07"
"['04,13,15,22,23,48,03', '05,08,23,31,39,44,19', '03,10,27,33,41,44,07']","01,02,05,32,45,46,43"
"['05,08,23,31,39,44,19', '03,10,27,33,41,44,07', '01,02,05,32,45,46,43']","02,09,13,16,24,39,41"
"['03,10,27,33,41,44,07', '01,02,05,32,45,46,43', '02,09,13,16,24,39,41']","06,08,13,21,33,39,45"
"['01,02,05,32,45,46,43', '02,09,13,16,24,39,41', '06,08,13,21,33,39,45']","05,10,25,30,40,43,26"
"['02,09,13,16,24,39,41', '06,08,13,21,33,39,45', '05,10,25,30,40,43,26']","02,03,20,23,34,42,40"
"['06,08,13,21,33,39,45', '05,10,25,30,40,43,26', '02,03,20,23,34,42,40']","03,10,22,31,35,38,37"
"['05,10,25,30,40,43,26', '02,03,20,23,34,42,40', '03,10,22,31,35,38,37']","03,04,08,22,36,38,07"
"['02,03,20,23,34,42,40', '03,10,22,31,35,38,37', '03,04,08,22,36,38,07']","01,26,37,39,42,48,41"
"['03,10,22,31,35,38,37', '03,04,08,22,36,38,07', '01,26,37,39,42,48,41']","01,07,17,40,41,43,33"
"['03,04,08,22,36,38,07', '01,26,37,39,42,48,41', '01,07,17,40,41,43,33']","08,14,27,31,36,40,03"
"['01,26,37,39,42,48,41', '01,07,17,40,41,43,33', '08,14,27,31,36,40,03']","06,12,21,25,34,43,28"
"['01,07,17,40,41,43,33', '08,14,27,31,36,40,03', '06,12,21,25,34,43,28']","12,19,23,33,46,48,29"
"['08,14,27,31,36,40,03', '06,12,21,25,34,43,28', '12,19,23,33,46,48,29']","12,21,39,41,46,47,14"
